Date,XP,XP Gained,Notes
1/1/2025,7330975,10004,
1/2/2025,7365535,34560,
1/3/2025,7389153,23618,Lv 81 Reached
1/4/2025,7416922,27769,
1/5/2025,7434574,17652,
1/6/2025,7449488,14914,Double XP Card Activated
1/7/2025,7481937,32449,Double XP Card Activated
1/8/2025,7502249,20312,Double XP Card Activated
1/9/2025,7510746,8497,Shared Acc With Sara , Dynamic Duo Started
1/10/2025,7526099,15353,Double XP Card Activated
1/11/2025,7533712,7613,Double XP Card Activated
1/12/2025,7539837,6125,Double XP Card Activated
1/13/2025,7542638,2801,
1/14/2025,7545077,2439,
1/15/2025,7548011,2934,
1/16/2025,7568011,20000,
1/17/2025,7572821,4810,
1/18/2025,7573965,1144,
1/19/2025,7579120,5155,
1/20/2025,7584095,4975,Sara's Period Pain
1/21/2025,7594931,10836,Sara's Period Pain
1/22/2025,7605098,10167,Sara's Period Pain
1/23/2025,7609290,4192,
1/24/2025,7620575,11285,
1/25/2025,7632386,11811,Sara Unfriend Me, Shotgun Custom
1/26/2025,7632586,200,Sara Added Me
1/27/2025,7639106,6520,
1/28/2025,7641106,2000,Sara gone to village for 10 days
1/29/2025,7648583,7477,
1/30/2025,7649448,865,
1/31/2025,7654033,4585,
2/1/2025,7655033,1000,IMG_7983.PNG
2/2/2025,7655533,500,Sara Nasuha > Baby Sara
2/3/2025,7658939,3406,
2/4/2025,7661872,2933,10 Day Anniversary DD IMG_8040.PNG
2/5/2025,7663002,1130,
2/6/2025,7664721,1719,Baby Sara > Sayang Sara
2/7/2025,7666341,1620,
2/8/2025,7666547,206,
2/9/2025,7667232,685,Sara Unfriend Me, Likes Issue
2/10/2025,7669302,2070,Sara Back to Selangor, Added Me
2/11/2025,7674302,5000,
2/12/2025,7679092,4790,
2/13/2025,7680610,1518,
2/14/2025,7687299,6689,
2/15/2025,7694092,6793,Sara's Mother DIed
2/16/2025,7694859,767,Sara Back to Village for funeral
2/17/2025,7698157,3298,IMG_8204.PNG
2/18/2025,7702469,4312,IMG_8206.PNG
2/19/2025,7714728,12259,Sara back to Selangor
2/20/2025,7718904,4176,Watched Movie With Sara 
2/21/2025,7721040,2136,Sara's Earphone Brocken, Watched Movie With Sara
2/22/2025,7722040,1000,
2/23/2025,7723043,1003,
2/24/2025,7732398,9355,
2/25/2025,7735398,3000,
2/26/2025,7738620,3222,
2/27/2025,7739620,1000,Watched 50 SHades of Grey with Her
2/28/2025,7742396,2776,Sara's Ex came into play
3/1/2025,7743787,1391,New BR Season Started, Sara Unfriend Me
3/2/2025,7786539,42752,Double XP Card Activated
3/3/2025,7809314,22775,Double XP Card Activated
3/4/2025,7836391,27077,Double XP Card Activated
3/5/2025,7881015,44624,Double XP Card Activated
3/6/2025,7908641,27626,Double XP Card Activated, Sara Added Me
3/7/2025,7919995,11354,Double XP Card Activated
3/8/2025,7943789,23794,
3/9/2025,7947529,3740,Played War With Sara and Won 
3/10/2025,7957217,9688,
3/11/2025,7959217,2000,
3/12/2025,7963925,4708,
3/13/2025,7968027,4102,
3/14/2025,7977659,9632,Sara's Stomache Pain
3/15/2025,7978971,1312,Started Distance Myself From Sara
3/16/2025,7979971,1000,
3/17/2025,7981247,1276,Sara's Period Pain, Sara called me, Watched Fifty Shades Dark Movie
3/18/2025,7983219,1972,Watched Fifty Shades Freed
3/19/2025,7985219,2000,Sara did M****** with me in call, Watched a P** V****
3/20/2025,7989170,3951,
3/21/2025,7991360,2190,Watched after we fell with Sara, signed Marriage certificate
3/22/2025,7994525,3165,
3/23/2025,7998292,3767,Sara Unfriends Me
3/24/2025,7998592,300,Sara read chat about Ayfha and End Our Relationship
3/25/2025,7999926,1334,Double XP
3/26/2025,8009758,9832,Double XP
3/27/2025,8010758,1000,Double XP
3/28/2025,8011758,1000,Double XP, Sara Added Me
3/29/2025,8012758,1000,Double XP
3/30/2025,8013758,1000,Double XP
3/31/2025,8014758,1000,Double XP
4/1/2025,8014917,159,
4/2/2025,8020076,5159,
4/3/2025,8025235,5159,
4/4/2025,8030394,5159,
4/5/2025,8035553,5159,
4/6/2025,8040712,5159,
4/7/2025,8045871,5159,Level 82 Reached
4/8/2025,8051030,5159,
4/9/2025,8056189,5159,
4/10/2025,8061348,5159,
4/11/2025,8066507,5159,
4/12/2025,8071666,5159,
4/13/2025,8076825,5159,
4/14/2025,8081984,5159,
4/15/2025,8087143,5159,
4/16/2025,8092302,5159,
4/17/2025,8097461,5159,
4/18/2025,8102620,5159,
4/19/2025,8107779,5159,
4/20/2025,8112938,5159,
4/21/2025,8118097,5159,
4/22/2025,8123256,5159,
4/23/2025,8128415,5159,
4/24/2025,8133574,5159,
4/25/2025,8138733,5159,
4/26/2025,8143892,5159,
4/27/2025,8149051,5159,
4/28/2025,8154210,5159,
4/29/2025,8159369,5159,
4/30/2025,8164528,5159,
5/1/2025,8169687,5159,
5/2/2025,8174846,5159,
5/3/2025,8180005,5159,
5/4/2025,8185164,5159,
5/5/2025,8190323,5159,
5/6/2025,8195482,5159,
5/7/2025,8200641,5159,
5/8/2025,8205800,5159,Sara Unfriend Me
5/9/2025,8210959,5159,
5/10/2025,8216118,5159,
5/11/2025,8221277,5159,
5/12/2025,8226436,5159,
5/13/2025,8231595,5159,
5/14/2025,8236754,5159,
5/15/2025,8241913,5159,
5/16/2025,8247072,5159,
5/17/2025,8252231,5159,
5/18/2025,8257390,5159,
5/19/2025,8262549,5159,
5/20/2025,8267708,5159,
5/21/2025,8272867,5159,
5/22/2025,8278026,5159,
5/23/2025,8283185,5159,
5/24/2025,8288344,5159,
5/25/2025,8293503,5159,
5/26/2025,8298662,5159,
5/27/2025,8303824,5162,
5/28/2025,8322868,19044,
5/29/2025,8343662,20794,
5/30/2025,8356247,12585,
5/31/2025,8377000,20753,
6/1/2025,8398000,21000,
6/2/2025,8419600,21600,
6/3/2025,8435000,15400,
6/4/2025,8453300,18300,
6/5/2025,8472000,18700,
6/6/2025,8503232,31232,Double XP Card Activated
6/7/2025,8528363,25131,Double XP Card Activated
6/8/2025,8559726,31363,Double XP Card Activated
6/9/2025,8583634,23908,Double XP Card Activated
6/10/2025,8613654,30020,Double XP Card Activated
6/11/2025,8648783,35129,Double XP Card Activated
6/12/2025,8685296,36513,Double XP Card Activated
6/13/2025,8701312,16016,
6/14/2025,8721173,19861,
6/15/2025,8736751,15578,
6/16/2025,8749584,12833,Lv 83 Reached
6/17/2025,8770023,20439,
6/18/2025,8792037,22014,
6/19/2025,8810541,18504,
6/20/2025,8823403,12862,
6/21/2025,8845802,22399,
6/22/2025,8868595,22793,
6/23/2025,8886311,17716,
6/24/2025,8908278,21967,
6/25/2025,8930649,22371,
6/26/2025,8944201,13552,
6/27/2025,8965764,21563,
6/28/2025,8982757,16993,
6/29/2025,8997586,14829,
6/30/2025,9015093,17507,
7/1/2025,9031655,16562,
7/2/2025,9058156,26501,
7/3/2025,9079176,21020,
7/4/2025,9101429,22253,
7/5/2025,9116280,14851,
7/6/2025,9133029,16749,
7/7/2025,9151378,18349,
7/8/2025,9185007,33629,Double XP
7/9/2025,9225776,40769,Double XP
7/10/2025,9266872,41096,Double XP
7/11/2025,9308405,41533,Double XP
7/12/2025,9346542,38137,Double XP
7/13/2025,9385691,39149,Double XP
7/14/2025,9424155,38464,Double XP
7/15/2025,9449100,24945,
7/16/2025,9474497,25397,
7/17/2025,9496688,22191,
7/18/2025,9520750,24062,Level 84 Reached
7/19/2025,9541597,20847,
7/20/2025,9564726,23129,
7/21/2025,9588928,24202,
7/22/2025,9609272,20344,
7/23/2025,9647705,38433,Double XP
7/24/2025,9686815,39110,Double XP
7/25/2025,9725216,38401,Double XP
7/26/2025,9749345,24129,
7/27/2025,9773950,24605,
7/28/2025,9793584,19634,
7/29/2025,9818542,24958,
7/30/2025,9840868,22326,
7/31/2025,9864610,23742,
8/1/2025,9885547,20937,
8/2/2025,9907886,22339,
8/3/2025,9933805,25919,
8/4/2025,9957038,23233,
8/5/2025,9979591,22553,
8/6/2025,10002328,22737,
8/7/2025,10027077,24749,
8/8/2025,10066019,38942,Double XP
8/9/2025,10105708,39689,Double XP
8/10/2025,10145748,40040,Double XP
8/11/2025,10169842,24094,
8/12/2025,10193205,23363,
8/13/2025,10217030,23825,
8/14/2025,10255721,38691,Double XP
8/15/2025,10292693,36972,Double XP
8/16/2025,10326689,33996,Level 85 Reached
8/17/2025,10356080,29391,Double XP
8/18/2025,10392022,35942,Double XP
8/19/2025,10421917,29895,Double XP
8/20/2025,10459464,37547,Double XP
8/21/2025,10479866,20402,
8/22/2025,10501235,21369,
8/23/2025,10526465,25230,
8/24/2025,10550017,23552,
8/25/2025,10572143,22126,THESIS SUBMISSION 
8/26/2025,10592892,20749,Meet Maam
8/27/2025,10612943,20051,
8/28/2025,10639654,26711,
8/29/2025,10657317,17663,
8/30/2025,10684009,26692,
8/31/2025,10685120,1111,
