Date,BR Score,Rank Gained,Likes,Likes Gained,XP,XP Gained,Notes
4/1/2025,,,,,8014917,159,
4/2/2025,,,,,8020076,5159,
4/3/2025,,,,,8025235,5159,
4/4/2025,,,,,8030394,5159,
4/5/2025,,,,,8035553,5159,
4/6/2025,,,,,8040712,5159,
4/7/2025,,,,,8045871,5159,Level 82 Reached
4/8/2025,,,,,8051030,5159,
4/9/2025,,,,,8056189,5159,
4/10/2025,,,,,8061348,5159,
4/11/2025,,,,,8066507,5159,
4/12/2025,,,,,8071666,5159,
4/13/2025,,,,,8076825,5159,
4/14/2025,,,,,8081984,5159,
4/15/2025,,,,,8087143,5159,
4/16/2025,,,,,8092302,5159,
4/17/2025,,,,,8097461,5159,
4/18/2025,,,,,8102620,5159,
4/19/2025,,,,,8107779,5159,
4/20/2025,,,,,8112938,5159,
4/21/2025,,,,,8118097,5159,
4/22/2025,,,,,8123256,5159,
4/23/2025,,,,,8128415,5159,
4/24/2025,,,,,8133574,5159,
4/25/2025,,,,,8138733,5159,
4/26/2025,,,,,8143892,5159,
4/27/2025,,,,,8149051,5159,
4/28/2025,,,,,8154210,5159,
4/29/2025,,,,,8159369,5159,
4/30/2025,,,,,8164528,5159,
